Date,Day,Daily,Cummulative,discharged,death,icu
24/1/2020,1,3,0,0,0,0
25/1/2020,2,3,3,0,0,0
26/1/2020,3,1,4,0,0,0
27/1/2020,4,0,4,0,0,0
28/1/2020,5,0,4,0,0,0
29/1/2020,6,3,7,0,0,0
30/1/2020,7,1,8,0,0,0
31/1/2020,8,0,8,0,0,0
1/2/2020,9,0,8,0,0,0
2/2/2020,10,0,8,0,0,0
3/2/2020,11,0,8,0,0,0
4/2/2020,12,2,10,0,0,0
5/2/2020,13,2,12,1,0,0
6/2/2020,14,0,12,1,0,0
7/2/2020,15,0,12,1,0,0
8/2/2020,16,4,16,2,0,0
9/2/2020,17,0,16,3,0,0
10/2/2020,18,2,18,3,0,0
11/2/2020,19,0,18,3,0,0
12/2/2020,20,0,18,3,0,0
13/2/2020,21,1,19,3,0,0
14/2/2020,22,0,19,7,0,0
15/2/2020,23,3,22,7,0,0
16/2/2020,24,0,22,8,0,0
17/2/2020,25,0,22,9,0,0
18/2/2020,26,0,22,11,0,0
19/2/2020,27,0,22,15,0,0
20/2/2020,28,0,22,17,0,0
21/2/2020,29,0,22,17,0,0
22/2/2020,30,0,22,17,0,0
23/2/2020,31,0,22,18,0,0
24/2/2020,32,0,22,20,0,0
25/2/2020,33,0,22,20,0,0
26/2/2020,34,0,22,20,0,0
27/2/2020,35,1,23,22,0,0
28/2/2020,36,0,23,22,0,0
29/2/2020,37,2,25,22,0,0
1/3/2020,38,4,29,22,0,0
2/3/2020,39,0,29,22,0,0
3/3/2020,40,7,36,22,0,0
4/3/2020,41,14,50,22,0,0
5/3/2020,42,0,50,22,0,0
6/3/2020,43,33,83,22,0,0
7/3/2020,44,10,93,23,0,0
8/3/2020,45,6,99,24,0,2
9/3/2020,46,18,117,24,0,2
10/3/2020,47,12,129,25,0,2
11/3/2020,48,20,149,26,0,2
12/3/2020,49,0,149,32,0,3
13/3/2020,50,48,197,32,0,4
14/3/2020,51,41,238,35,0,5
15/3/2020,52,190,428,42,0,9
16/3/2020,53,138,566,42,0,12
17/3/2020,54,107,673,49,2,12
18/3/2020,55,117,790,60,2,15
19/3/2020,56,110,900,75,2,20
20/3/2020,57,130,1030,87,2,26
21/3/2020,58,153,1183,114,4,37
22/3/2020,59,123,1306,139,10,46
23/3/2020,60,212,1518,159,14,57
24/3/2020,61,106,1624,183,16,64
25/3/2020,62,172,1796,199,19,45
26/3/2020,63,235,2031,215,23,45
27/3/2020,64,130,2161,259,26,54
28/3/2020,65,159,2320,320,27,73
29/3/2020,66,150,2470,388,34,73
30/3/2020,67,156,2626,479,37,94
31/3/2020,68,140,2766,537,43,94
1/4/2020,69,142,2908,645,45,102
2/4/2020,70,208,3116,767,50,105
3/4/2020,71,217,3333,827,53,108
4/4/2020,72,150,3483,915,57,99
5/4/2020,73,179,3662,1005,61,99
6/4/2020,74,131,3793,1241,62,102
7/4/2020,75,170,3963,1321,63,92
8/4/2020,76,156,4119,1487,65,76
9/4/2020,77,109,4228,1608,67,72
10/4/2020,78,118,4346,1830,70,69
11/4/2020,79,184,4530,1995,73,72
12/4/2020,80,153,4683,2108,76,66
13/4/2020,81,134,4817,2276,77,66
14/4/2020,82,170,4987,2478,82,60
15/4/2020,83,85,5072,2647,83,56
16/4/2020,84,110,5182,2766,84,56
17/4/2020,85,69,5251,2967,86,51
18/4/2020,86,54,5305,3102,88,49
19/4/2020,87,84,5389,3197,89,46
20/4/2020,88,36,5425,3295,89,45
21/4/2020,89,57,5482,3349,92,43
22/4/2020,90,50,5532,3452,93,43
23/4/2020,91,71,5603,3542,95,42
24/4/2020,92,88,5691,3663,96,41
25/4/2020,93,51,5742,3762,98,36
26/4/2020,94,38,5780,3862,98,36
27/4/2020,95,40,5820,3957,99,37
28/4/2020,96,31,5851,4032,100,36
29/4/2020,97,94,5945,4087,100,40
30/4/2020,98,57,6002,4171,102,36
1/5/2020,99,69,6071,4210,103,37
2/5/2020,100,105,6176,4326,103,31
3/5/2020,101,122,6298,4413,105,27
4/5/2020,102,55,6353,4484,105,28
5/5/2020,103,30,6383,4567,106,24
6/5/2020,104,45,6428,4702,107,22
7/5/2020,105,39,6467,4776,107,19
8/5/2020,106,68,6535,4864,107,18
9/5/2020,107,54,6589,4929,108,18
10/5/2020,108,67,6656,5025,108,18
11/5/2020,109,70,6726,5113,109,20
12/5/2020,110,16,6742,5223,109,16
13/5/2020,111,37,6779,5281,111,16
14/5/2020,112,40,6819,5351,112,16
15/5/2020,113,36,6855,5439,112,14
16/5/2020,114,17,6872,5512,113,13
17/5/2020,115,22,6894,5571,113,13
18/5/2020,116,47,6941,5615,113,13
19/5/2020,117,37,6978,5646,114,11
20/5/2020,118,31,7009,5706,114,11
21/5/2020,119,50,7059,5796,114,10
22/5/2020,120,78,7137,5859,115,9
23/5/2020,121,48,7185,5912,115,9
24/5/2020,122,60,7245,5945,115,9
25/5/2020,123,172,7417,5979,115,8
26/5/2020,124,187,7604,6041,115,8
27/5/2020,125,15,7619,6083,115,8
28/5/2020,126,10,7629,6169,115,8
29/5/2020,127,103,7732,6235,115,8
30/5/2020,128,30,7762,6330,115,9
31/5/2020,129,57,7819,6353,115,9
1/6/2020,130,38,7857,6404,115,8
2/6/2020,131,20,7877,6470,115,6
3/6/2020,132,93,7970,6531,115,6
4/6/2020,133,277,8247,6559,115,6
5/6/2020,134,19,8266,6610,116,6
6/6/2020,135,37,8303,6610,116,6
7/6/2020,136,19,8322,6674,117,5
8/6/2020,137,7,8329,6694,117,6
9/6/2020,138,7,8336,6975,117,6
10/6/2020,139,2,8338,7014,118,5
11/6/2020,140,31,8369,7065,118,5
12/6/2020,141,33,8402,7168,119,4
13/6/2020,142,43,8445,7311,120,4
14/6/2020,143,8,8453,7346,121,4
15/6/2020,144,41,8494,7400,121,4
16/6/2020,145,11,8505,7733,121,4
17/6/2020,146,10,8515,7873,121,4
18/6/2020,147,14,8529,8000,121,4
19/6/2020,148,6,8535,8070,121,3
20/6/2020,149,21,8556,8146,121,3
21/6/2020,150,16,8572,8156,121,3
22/6/2020,151,15,8587,8177,121,3
23/6/2020,152,3,8590,8186,121,3
24/6/2020,153,6,8596,8231,121,2
25/6/2020,154,4,8600,8271,121,2
26/6/2020,155,6,8606,8294,121,2
27/6/2020,156,10,8616,8308,121,2
28/6/2020,157,18,8634,8318,121,2
29/6/2020,158,3,8637,8334,121,4
30/6/2020,159,2,8639,8354,121,4
1/7/2020,160,1,8640,8375,121,4
2/7/2020,161,3,8643,8437,121,2
3/7/2020,162,5,8648,8446,121,2
4/7/2020,163,10,8658,8461,121,2
5/7/2020,164,5,8663,8465,121,2
6/7/2020,165,5,8668,8476,121,2
7/7/2020,166,6,8674,8481,121,2
8/7/2020,167,3,8677,8486,121,2
9/7/2020,168,6,8683,8499,121,2
10/7/2020,169,13,8696,8511,121,2
11/7/2020,170,8,8704,8515,122,2
12/7/2020,171,14,8718,8519,122,3
13/7/2020,172,7,8725,8520,122,4
14/7/2020,173,4,8729,8524,122,6
15/7/2020,174,5,8734,8526,122,5
16/7/2020,175,3,8737,8538,122,3
17/7/2020,176,18,8755,8541,122,3
18/7/2020,177,9,8764,8546,122,1
19/7/2020,178,15,8779,8553,123,2
20/7/2020,179,21,8800,8555,123,3
21/7/2020,180,15,8815,8562,123,4
22/7/2020,181,16,8831,8566,123,5
23/7/2020,182,9,8840,8574,123,5
24/7/2020,183,21,8861,8577,123,5
25/7/2020,184,23,8884,8594,123,3
26/7/2020,185,13,8897,8600,124,2
27/7/2020,186,7,8904,8601,124,0
28/7/2020,187,39,8943,8607,124,1
29/7/2020,188,13,8956,8612,124,2
30/7/2020,189,8,8964,8617,124,3
31/7/2020,190,12,8976,8644,125,3
1/8/2020,191,9,8985,8647,125,2
2/8/2020,192,14,8999,8664,125,2
3/8/2020,193,2,9001,8668,125,1
4/8/2020,194,1,9002,8684,125,0
5/8/2020,195,21,9023,8702,125,2
6/8/2020,196,15,9038,8713,125,2
7/8/2020,197,25,9063,8728,125,2
8/8/2020,198,7,9070,8775,125,2
9/8/2020,199,13,9083,8784,125,1
10/8/2020,200,11,9094,8803,125,1
11/8/2020,201,9,9103,8809,125,2
12/8/2020,202,11,9114,8817,125,1
13/8/2020,203,15,9129,8821,125,2
14/8/2020,204,20,9149,8828,125,4
15/8/2020,205,26,9175,8831,125,6
16/8/2020,206,25,9200,8859,125,7
17/8/2020,207,12,9212,8876,125,8
18/8/2020,208,7,9219,8902,125,8
19/8/2020,209,16,9235,8925,125,7
20/8/2020,210,5,9240,8932,125,7
21/8/2020,211,9,9249,8945,125,7
22/8/2020,212,8,9257,8949,125,8
23/8/2020,213,10,9267,8959,125,9
24/8/2020,214,7,9274,8965,125,8
25/8/2020,215,11,9285,8971,125,8
26/8/2020,216,6,9291,8978,125,9
27/8/2020,217,5,9296,8994,125,8
